"seqnames","start","end","strand","name","idx","Log2FC","FDR","MeanDiff"
"chr5",119834663,119885218,1,"Tbx5",905,-1.38057273053278,1.34544967290887e-08,-4.03960358584585
"chr19",45150715,45156943,1,"Tlx1",658,-1.07356999807259,1.73995642554199e-08,-6.17358439650625
"chr2",148046969,148042877,2,"Foxa2",1540,-1.95771082417363,2.36137357881222e-08,-6.86463317163928
"chrX",168577233,167471306,2,"Frmpd4",1035,-1.0836473472283,2.62977841332726e-08,-10.1073415263668
"chr15",102921131,102928814,1,"Hoxc13",883,-1.48683165389531,4.27388459578459e-08,-5.8738304965981
"chr6",52314832,52308389,2,"Evx1os",395,-1.52256251306369,4.85581919527455e-08,-6.66692997847975
"chr6",52260880,52258853,2,"Hoxa13",394,-1.23074527287948,5.93283147665205e-08,-6.9574850648776
"chr5",147270131,147275149,1,"Pdx1",1339,-1.44957995185481,9.64532252474852e-08,-3.8086542319537
"chr6",23248264,23245047,2,"Fezf1",85,-1.49832285382494,1.03967522511624e-07,-4.30500532254937
"chr5",147271521,147228598,2,"Plut",1338,-1.318776162371,1.14613393921933e-07,-2.43412714663079
"chr12",56613284,56611393,2,"Nkx2-9",247,-1.58632311968765,1.17310736690586e-07,-6.95528253876943
"chr6",23839421,23262773,2,"Cadps2",86,-1.87484694604284,1.23927339036377e-07,-1.97477791344077
"chr5",119691218,119685088,2,"Tbx3os2",904,-1.76651129122373,2.01977269439839e-07,-3.60927858594983
"chrX",137570754,138849077,1,"Il1rapl2",841,-1.57505476566713,2.01977269439839e-07,-5.08282944939058
"chrX",162643658,162411952,2,"Reps2",998,-1.18014292882036,2.45677351598555e-07,-3.19757996526878
"chrX",103981284,103957167,2,"Rlim",683,-1.13874042673786,2.68573954500335e-07,-2.11685293704696
"chrX",152144268,152225237,1,"Iqsec2",935,-1.11252877964435,3.58119809371882e-07,-3.21755456426621
"chrX",143518591,143797796,1,"Pak3",880,-1.40727978216542,4.17228877230973e-07,-2.43562842776285
"chr7",49636835,49631499,2,"Dbx1",1008,-1.66261358157996,4.70926251597726e-07,-6.22770944512709
"chrX",152563334,152563969,1,"Cldn34a",941,-1.74862136865284,5.11910175057876e-07,-2.34025130687898
"chrX",167070370,167063449,2,"Gm8817",1030,-1.35567306869227,5.43594448784065e-07,-2.82840315357593
"chrX",169685199,169990798,1,"Mid1",1041,-1.37568786741642,5.97995226347091e-07,-3.36870297521034
"chr8",71676383,71690577,1,"Jak3",552,-1.52975801159051,6.29206800759384e-07,-3.23382836717982
"chrX",152368572,152416702,1,"3010001F23Rik",940,-1.48444348352843,7.04957148780918e-07,-2.01732681250544
"chr19",37685680,37693307,1,"Cyp26c1",542,-1.88586864685937,7.24935742151805e-07,-2.55335193701811
"chrX",166170454,166190512,1,"Gemin8",1022,-1.90637023510403,8.37969903419397e-07,-1.22830201370551
"chr12",56529420,56490428,2,"Sfta3-ps",244,-1.60003475040747,8.54986147209045e-07,-3.35812994802027
"chr2",147184083,147331681,1,"Nkx2-2os",1535,-1.2170922214303,9.31809926127783e-07,-2.41980407419512
"chr18",66458604,66465558,1,"Pmaip1",474,-2.04968006413054,9.34059370157134e-07,-1.68617781615895
"chrX",142681400,142843494,1,"Tmem164",875,-1.23168686407784,9.6529888363321e-07,-2.18257713962217
"chrX",140062879,140106797,1,"Pih1h3b",857,-1.28624134568303,9.9822183753085e-07,-1.12480199086658
"chrX",160502166,160598878,1,"Phka2",990,-1.36982803464622,1.03874299207454e-06,-1.62202719381122
"chr10",62133090,62134763,1,"Neurog3",361,-1.77681559513248,1.23736594221793e-06,-3.59392869640504
"chr2",74711993,74748271,1,"Hoxd3",678,-1.05942346404246,1.41096114741117e-06,-4.2766064060478
"chrX",13247733,13234641,2,"2010308F09Rik",119,-1.76034845860929,1.47144502851946e-06,-1.75652632974433
"chrX",152769486,152609509,2,"Shroom2",942,-1.1095931108904,1.63336122065782e-06,-2.10962799945489
"chr2",147710693,147717632,1,"A530006G24Rik",1539,-2.39289530387494,1.69001521446772e-06,-0.97277562201391
"chrX",152327493,152294824,2,"Kantr",937,-1.66613723463944,1.69220665371371e-06,-1.68810135088059
"chrX",159627272,159975920,1,"Sh3kbp1",986,-1.09381021651442,1.89030467096735e-06,-3.9676294116061
"chrX",166238943,166389033,1,"Gpm6b",1023,-1.00960292184593,2.24490959892041e-06,-1.79067752089361
"chr5",147283298,147283189,2,"Mir7k",1340,-1.51355169492151,2.25762265375455e-06,-3.50330393598277
"chrX",141474076,141165403,2,"Col4a6",867,-1.03233553663063,2.25762265375455e-06,-3.12865452001715
"chr6",52313498,52318378,1,"Evx1",396,-1.34919705930144,2.3282894453071e-06,-5.36488005956186
"chrX",160390690,160498076,1,"Adgrg2",989,-1.32908546488656,2.3282894453071e-06,-1.74262656371299
"chr2",147364994,147393295,1,"Pax1",1537,-1.48291499381254,2.39678840776419e-06,-2.80322876003635
"chrX",142196936,142079289,2,"Gucy2f",870,-1.23145151097052,2.52047014507588e-06,-1.6158518236332
"chr19",25672411,25678991,1,"Dmrt2",442,-1.45539731881459,2.5594896427834e-06,-3.6158802966668
"chrX",94274574,94274637,1,"Mir7673",590,-1.05912405817956,2.58725359755527e-06,-2.77410389516643
"chrX",13281022,13293983,1,"Ddx3x",120,-1.63442345163831,2.61511437580127e-06,-1.57747642398876
"chrX",160994681,160784308,2,"Cdkl5",993,-1.30614614253979,2.63735280905286e-06,-2.66127780622387
"chrX",152016428,152061973,1,"Smc1a",934,-1.08221159194728,2.8858273114837e-06,-1.89272764697422
