"seqnames","start","end","strand","name","idx","Log2FC","FDR","MeanDiff"
"chrX",59585572,59062145,2,"Fgf13",373,-1.68031806974351,1.14358388591954e-06,-1.67068568356372
"chrX",52613974,52272426,2,"Gpc3",308,-1.16617618173635,1.27472256821449e-06,-2.37146384368408
"chrX",88115623,86747242,2,"Il1rapl1",565,-1.30301477414216,1.27472256821449e-06,-2.69788900957571
"chrX",82814910,85205050,1,"Dmd",555,-1.0857442752443,1.33222837649433e-05,-4.45175942934321
"chrX",51681602,51386637,2,"Hs6st2",304,-1.17917847558105,1.72350155228119e-05,-2.31287125772954
"chrX",51801233,51753959,2,"Usp26",305,-1.41125038012459,4.72358786158495e-05,-0.734222314376054
"chrX",58911461,58920304,1,"4930550L24Rik",372,-1.49598338795851,6.61925096116023e-05,-0.365629687163142
"chrX",100494291,100516125,1,"Igbp1",626,-1.04080485642163,0.000184993251370978,-1.18322255420803
"chrX",106309826,106309935,1,"Mir6382",708,-1.27472142888378,0.000191483843479374,-1.25314832420682
"chr4",130913334,130936148,1,"Laptm5",992,-1.74177753402172,0.000210826196755348,-0.694093135292466
"chrX",95196505,95048935,2,"Arhgef9",598,-1.00137392697907,0.000213220854382027,-1.21714848509815
"chr1",152955101,153119261,1,"Nmnat2",924,-1.44660672839541,0.000242903047996258,-1.38024233659256
"chrX",12587759,12617051,1,"Atp6ap2",111,-1.28025191930625,0.000317553279989909,-0.984982148118462
"chrX",139684996,139754218,1,"Tbc1d8b",851,-1.15800660085953,0.000389307210963627,-1.12268506841019
"chrX",71210767,71315295,1,"Mtm1",430,-1.24109522695901,0.000392049774371478,-0.856074489404941
"chrX",50426494,50425496,2,"Olfr1324",297,-2.04078965298519,0.000538305738184994,-0.671796164130694
"chr7",109439053,109279216,2,"Stk33",1652,-1.69843882423641,0.000692964945459544,-1.32222306410588
"chr8",12385771,12436732,1,"Sox1ot",69,-1.20898599393982,0.000693464444116131,-2.04353821961729
"chrX",144153695,144166274,1,"A730046J19Rik",883,-1.00066172872814,0.000731508173579566,-0.929352267627914
"chrX",145348894,145290359,2,"Lhfpl1",891,-1.08448211589956,0.0008292434655849,-0.943204537314487
"chrX",157698973,157752591,1,"Smpx",979,-1.1115358004378,0.0008292434655849,-1.06664847640505
"chrX",51205990,51113494,2,"Mbnl3",303,-1.01637394032497,0.0008697459805279,-0.75338899992365
"chrX",143933219,143855842,2,"Dcx",882,-1.0464662814045,0.00112336056507183,-1.09407461601474
"chrX",72656246,72432676,2,"Gabra3",445,-1.60805664662054,0.00118400848390242,-0.748314618682391
"chrX",52164923,52053018,2,"Gpc4",307,-1.02154920601103,0.00125694017985627,-1.16362953697892
"chrX",51018018,51003912,2,"Rap2c",302,-1.50654984866683,0.00143821517115203,-0.86049989416658
"chrX",69360331,69868037,1,"Aff2",421,-1.35807535806618,0.00145107584459368,-0.845352120573607
"chrX",53240111,53070002,2,"Plac1",329,-1.12038598145789,0.00185617757992294,-0.954851738567181
"chrX",71555917,71560673,1,"Hmgb3",433,-1.28949343946263,0.00185617757992294,-0.881204533885313
"chrX",164497903,164539752,1,"Asb9",1018,-1.09369704650933,0.00212232390169441,-1.29635163647142
"chrX",52422515,52422407,2,"Mir717",310,-1.0977019171996,0.00213630591077556,-1.23501977220529
"chr5",33629635,33600353,2,"Fam53a",242,-1.29740343148285,0.00215687596024404,-0.91040758974917
"chrX",153118788,153132861,1,"Foxr2",947,-1.07259674098356,0.00215687596024404,-0.629629710108457
"chrX",52791200,52799468,1,"Ccdc160",318,-1.40984840745661,0.00226523115908002,-0.523610889785905
"chrX",13042015,13045295,1,"5730405O15Rik",117,-1.05035934277042,0.00233276216503224,-1.13985123735558
"chrX",50635321,50555745,2,"Firre",299,-1.22095696798528,0.00233276216503224,-0.460111598049304
"chrX",43429126,42532391,2,"Tenm1",266,-1.34936371866972,0.00237273728089659,-1.09561025776725
"chrX",47892884,47809370,2,"Smarca1",273,-1.95146873253625,0.00237600714086786,-0.302222013959301
"chrX",53434918,53443576,1,"Etd",333,-2.02551605496072,0.00237600714086786,-0.709203225479154
"chr7",109175207,109138565,2,"Lmo1",1651,-2.02903513325764,0.00274903160567604,-4.19139272031097
"chrX",85574022,85634469,1,"Tab3",558,-1.03708110573686,0.00299003175067681,-0.46620400978823
"chrX",113297510,113836386,1,"Dach2",743,-1.23333761181465,0.00319474878454134,-0.529907711137164
"chrX",71364760,71419196,1,"Mtmr1",431,-1.40617488990027,0.00320726269761676,-0.544518960925465
"chr17",49312960,49304479,2,"Gm17830",907,-1.06687826276029,0.00332927769892542,-0.456814966353642
"chrX",10485116,10596604,1,"Tspan7",99,-1.14490679880058,0.00332927769892542,-0.604851948577376
"chrX",139086243,139093403,1,"4930513O06Rik",845,-1.10645028642797,0.00340560678038665,-0.75057407499352
"chr17",75861023,75889039,1,"Gm4710",1086,-1.31005171845933,0.0035252684290644,-0.227240944597465
"chrX",106840643,106837082,2,"Rtl3",712,-1.04284224845402,0.00377932350484899,-1.11688970367352
