"seqnames","start","end","strand","name","idx","Log2FC","FDR","MeanDiff"
"chr9",91368972,91389348,1,"Zic4",935,2.33497505414908,2.80497026753237e-09,7.33000439727483
"chr9",91365799,91360345,2,"Zic1",934,2.38208503634468,1.32480192744201e-08,4.91426317572194
"chr14",122475384,122480328,1,"Zic2",867,2.03063060774717,7.68843735352352e-07,4.78950208596743
"chr14",122451146,122365679,2,"Gm5089",864,1.45569625839112,1.19553153080234e-06,2.0343714356909
"chr14",122534328,122889944,1,"Pcca",868,1.57979546437653,1.27472256821449e-06,1.19864859545894
"chr14",122181694,122402234,1,"Clybl",862,1.33602868588401,1.92914520002874e-06,1.762074855946
"chr12",118846329,118852578,1,"Sp8",828,1.39852098243515,5.20071955432299e-06,3.61994635825551
"chr6",85187931,85204463,1,"Emx1",626,1.16093284969817,5.31062922173396e-06,2.09352008607691
"chr14",122475199,122470377,2,"2610035F20Rik",866,1.94989199152839,3.44011424252651e-05,2.84155678516848
"chr2",172549593,172558622,1,"Tfap2c",1920,1.08584590806522,3.44011424252651e-05,2.43733341370215
"chr7",143461050,143458339,2,"Cdkn1c",2139,1.75141601822456,3.44011424252651e-05,6.31039124636595
"chr2",166447451,166458770,1,"5031425F14Rik",1863,1.29188338715022,6.24534179525073e-05,0.823833694548368
"chr3",127780527,127670310,2,"Alpk1",951,1.34618555147395,7.32696653626601e-05,4.48270222908919
"chr13",36734477,36725622,2,"Nrn1",321,1.10550065357247,0.000107205015108632,2.8718331984388
"chr5",77115123,77086986,2,"Hopx",496,1.33245090524093,0.000109080501675615,2.13003727889772
"chr7",143296547,143213111,2,"Kcnq1ot1",2137,2.01819536382836,0.000167459400591717,1.05500079880738
"chr8",35587798,35679449,1,"Mfhas1",299,1.47578592170005,0.000317553279989909,0.630037326585593
"chr14",12345865,12341892,2,"Fezf2",43,1.24792074483017,0.000449812325545519,4.76202007418084
"chr4",109978025,109983684,1,"Dmrta2",675,1.14213360702435,0.000532406562302891,4.00099791992255
"chr5",9725352,9485236,2,"Grm3",41,1.5661695899759,0.000693464444116131,0.548185016700983
"chr3",5220823,5177824,2,"2700069I18Rik",3,1.65441797673267,0.000709611810381349,0.658907409152746
"chr7",143107254,143427042,1,"Kcnq1",2136,1.4380594120138,0.000709611810381349,5.90466917296143
"chr14",122233638,122229905,2,"1700108J01Rik",863,1.17125829522175,0.0008292434655849,0.8551482138147
"chr3",127633145,127635631,1,"Neurog2",950,1.05046800522182,0.000953826379660984,4.99479654394623
"chr7",74554780,74275418,2,"Slco3a1",1127,1.00891260482155,0.00111538159040711,1.17687075720096
"chr14",70636048,70602184,2,"Dmtn",693,1.10776050859428,0.00113946181349245,0.709408080273935
"chr10",99263231,99267489,1,"Dusp6",823,1.75535041322265,0.00116471403075115,1.08459328822693
"chr18",54611744,54639870,1,"9330117O12Rik",373,1.18397356069946,0.00130541646839753,0.849166008820726
"chr14",122465658,122459160,2,"Zic5",865,1.42718143768813,0.00173608884739403,1.71148168543962
"chr10",92165178,92081746,2,"Rmst",764,1.63876251454449,0.00185617757992294,0.402166667875842
"chr10",92137223,92137140,2,"Mir1251",765,1.29858283117189,0.00200402949128351,0.259018832416408
"chr19",14598183,14448072,2,"Tle4",386,1.13060801942435,0.00207056290973335,0.814241560222817
"chr1",127678021,127486552,2,"Tmem163",730,1.06900335066052,0.00237600714086786,1.35401807566737
"chr16",16213345,16272712,1,"Pkp2",124,1.50709021236533,0.00270501098171936,0.469870662408724
"chr10",18407638,18533892,1,"Nhsl1",76,1.18212512276953,0.00276544169090626,0.790889397446027
"chr2",166155683,166073899,2,"Sulf2",1861,1.20273673663615,0.00276965384366237,0.530611461462753
"chr7",143330650,143322772,2,"4933417O13Rik",2138,1.40177099354088,0.00299003175067681,4.17389023658431
"chr14",122913165,122816223,2,"Ggact",869,1.69174798513509,0.00307823415927031,0.515240745356485
