"seqnames","start","end","strand","name","idx","Log2FC","FDR","MeanDiff"
"chrX",168577233,167471306,2,"Frmpd4",1035,-1.71614279468193,4.32607418617832e-08,-13.5233251286045
"chr8",57332435,57354580,1,"5033428I22Rik",399,-3.43675614964624,6.91820870797278e-08,-5.5816134645492
"chrX",137570754,138849077,1,"Il1rapl2",841,-1.88835775934594,6.91820870797278e-08,-6.26612597302682
"chrX",162643658,162411952,2,"Reps2",998,-1.53598399402549,6.91820870797278e-08,-3.80690621733997
"chrX",162159441,161836430,2,"Nhs",997,-1.42755088006959,1.31887920571143e-07,-5.62105356745076
"chrX",102505158,102284638,2,"Hdac8",658,-1.17588150948315,1.50472557349855e-07,-3.23743961449585
"chrX",142681400,142843494,1,"Tmem164",875,-1.5384913148944,2.25932168189537e-07,-2.95195333446326
"chrX",143518591,143797796,1,"Pak3",880,-1.71386520035161,2.29138497855331e-07,-2.79697730261968
"chrX",159627272,159975920,1,"Sh3kbp1",986,-1.61384402752336,2.29138497855331e-07,-5.57841832835536
"chrX",161717036,161779494,1,"Rai2",996,-1.47538586729204,2.29138497855331e-07,-2.26190356021645
"chr8",57320983,57324517,1,"Hand2",398,-3.33793843658623,2.32456068210776e-07,-3.56973603287664
"chrX",142966728,142853474,2,"Ammecr1",877,-1.65429694666401,2.66372477247478e-07,-2.08222084526017
"chrX",162901560,163034541,1,"Ctps2",1003,-1.56135002281259,3.34000497855134e-07,-2.00526913870594
"chrX",168795099,169304440,1,"Arhgap6",1037,-1.58741301045766,3.41120076021633e-07,-4.88002689923626
"chr8",57320859,57304414,2,"AV026068",397,-3.42299768101879,3.42009574117169e-07,-3.10414978485526
"chrX",163761332,163760139,2,"Rnf138rt1",1006,-1.49675329778723,3.87197905207995e-07,-3.48819730628727
"chrX",161117193,161258213,1,"Scml2",995,-1.85012810610635,4.39065894862217e-07,-2.14519717433126
"chrX",164497903,164539752,1,"Asb9",1018,-1.84949322202875,4.53455992678998e-07,-1.2369028551511
"chrX",99975606,100400760,1,"Eda",622,-1.44844502967137,6.28433935577508e-07,-3.40568490156998
"chrX",160390690,160498076,1,"Adgrg2",989,-1.74724250905707,8.39596613242137e-07,-2.10546522238914
"chrX",160994681,160784308,2,"Cdkl5",993,-1.59495227951262,9.47097595083861e-07,-2.90390557702809
"chrX",163549736,163513904,2,"Grpr",1005,-1.61472230690121,9.79295304032686e-07,-2.07892752332925
"chrX",151803282,151935417,1,"Huwe1",928,-1.65614661341689,1.195423063117e-06,-2.30109884177508
"chrX",99443797,99405331,2,"Gm14812",619,-1.04304510486921,1.44053757335888e-06,-2.15961099350698
"chrX",163909017,163933666,1,"Ap1s2",1007,-1.70019561687659,1.44053757335888e-06,-0.945756655324262
"chr5",119834663,119885218,1,"Tbx5",905,-1.43957624538075,1.44385217461771e-06,-3.56102577591609
"chrX",140600522,140539528,2,"Tsc22d3",861,-1.34829522967986,1.5366695534963e-06,-2.04539239441118
"chrX",151344223,151474136,1,"Fam120c",926,-1.55853155340322,1.5366695534963e-06,-1.64412311638627
"chrX",160502166,160598878,1,"Phka2",990,-1.50692353553647,1.5366695534963e-06,-1.56626881565945
"chrX",167382749,167346320,2,"Prps2",1034,-2.03221371812476,1.5366695534963e-06,-1.86843952042079
"chrX",169685199,169990798,1,"Mid1",1041,-1.49917031322324,1.5366695534963e-06,-3.55990295072466
"chrX",159532668,159593081,1,"Bclaf3",985,-1.78704838977633,1.64361188231187e-06,-1.15978055879313
"chrX",167070370,167063449,2,"Gm8817",1030,-1.59595625033692,2.48365725095574e-06,-3.05963625122965
"chrX",95196505,95048935,2,"Arhgef9",598,-1.40514572664443,2.50084050234176e-06,-1.46800133303251
"chr14",63271692,63198914,2,"Gata4",594,-1.79949376161124,2.54093919962749e-06,-4.40295549982092
"chrX",151520672,151633857,1,"Phf8",927,-1.44020135760276,2.59981744017468e-06,-1.28122069326753
"chrX",104671064,104536969,2,"Zdhhc15",688,-1.3884973226409,3.17219473287023e-06,-1.73341518749265
"chrX",167264329,167241123,2,"Tlr8",1032,-2.08718643303262,3.17219473287023e-06,-1.29278080351742
"chrX",160735765,160623094,2,"Ppef1",991,-1.533648497402,3.18363688689419e-06,-1.5582937847024
"chrX",134964754,134944526,2,"Nxf2",793,-1.86276084821758,3.5066781775713e-06,-1.07134222188441
"chrX",164028010,163976822,2,"Car5b",1009,-1.82065137582614,3.5066781775713e-06,-1.44483029431499
"chrX",167209218,167207094,2,"Tmsb4x",1031,-1.78452411898822,3.5066781775713e-06,-2.87692902676932
"chrX",88115623,86747242,2,"Il1rapl1",565,-1.55806253960138,3.60205758400287e-06,-2.36631895805009
"chrX",142739000,142739097,1,"Mir652",876,-1.70709952458658,3.71614871259512e-06,-2.43690375848661
"chrX",152563334,152563969,1,"Cldn34a",941,-1.89014643044679,4.16782933697822e-06,-2.50141571088694
"chrX",168673902,168653099,2,"Msl3",1036,-1.41885669386102,4.22382775893316e-06,-1.55726853932549
"chrX",101849385,102092055,1,"Nhsl2",651,-1.05483426166463,4.58059401824808e-06,-4.06717212186518
